criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,tree_depth,leaf_count,val_accuracy,val_macro_f1
log_loss,10.0,2,2,0.001,balanced,10,168,0.6855203619909502,0.6486210633743666
entropy,8.0,2,5,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
entropy,8.0,5,5,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
entropy,8.0,10,1,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
entropy,8.0,10,2,0.003,balanced,8,49,0.6764705882352942,0.6484714587537378
entropy,8.0,10,5,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
log_loss,8.0,2,5,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
log_loss,8.0,5,5,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
log_loss,8.0,10,1,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
log_loss,8.0,10,2,0.003,balanced,8,49,0.6764705882352942,0.6484714587537378
log_loss,8.0,10,5,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
entropy,4.0,2,1,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,2,1,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,2,1,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,2,2,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,2,2,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,2,2,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,2,5,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,2,5,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,2,5,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,5,1,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,5,1,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,5,1,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,5,2,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,5,2,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,5,2,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,5,5,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,5,5,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,5,5,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,10,1,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,10,1,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,10,1,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,10,2,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,10,2,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,10,2,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,10,5,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,10,5,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,10,5,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,1,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,1,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,1,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,2,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,2,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,2,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,5,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,5,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,5,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,1,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,1,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,1,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,2,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,2,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,2,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,5,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,5,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,5,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,1,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,1,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,1,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,2,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,2,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,2,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,5,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,5,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,5,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,10.0,10,1,0.0,balanced,10,163,0.6855203619909502,0.6483170808618745
log_loss,10.0,10,1,0.0,balanced,10,163,0.6855203619909502,0.6483170808618745
entropy,4.0,2,10,0.0,balanced,4,15,0.6809954751131222,0.648108616052623
entropy,4.0,2,10,0.001,balanced,4,15,0.6809954751131222,0.648108616052623
