n_estimators,max_depth,min_samples_leaf,max_features,class_weight,bootstrap,oob_score,oob_accuracy,oob_macro_f1,oob_score_value
300,10.0,1,0.5,balanced,True,True,0.7590439276485789,0.7111571052379468,0.7590439276485789
100,10.0,1,sqrt,balanced,True,True,0.7580749354005168,0.710855661382281,0.7580749354005168
100,10.0,2,sqrt,balanced,True,True,0.7574289405684754,0.7107377053315181,0.7574289405684754
100,10.0,1,0.5,balanced,True,True,0.7583979328165374,0.7104917627366576,0.7583979328165374
100,20.0,2,log2,balanced,True,True,0.771640826873385,0.7103978012786957,0.771640826873385
500,,2,log2,balanced,True,True,0.771640826873385,0.7103345129166726,0.771640826873385
500,10.0,5,log2,balanced,True,True,0.7506459948320413,0.7099038647569956,0.7506459948320413
100,10.0,5,0.5,balanced,True,True,0.7535529715762274,0.7096925189660687,0.7535529715762274
100,10.0,2,log2,balanced,True,True,0.7541989664082688,0.7091355236229283,0.7541989664082688
300,20.0,2,0.5,balanced,True,True,0.770671834625323,0.7087792380774012,0.770671834625323
100,20.0,5,sqrt,balanced,True,True,0.7577519379844961,0.7084965676151893,0.7577519379844961
100,10.0,5,log2,balanced,True,True,0.751937984496124,0.7084140115018536,0.751937984496124
100,,2,sqrt,balanced,True,True,0.770671834625323,0.7081356984941718,0.770671834625323
100,10.0,1,log2,balanced,True,True,0.7532299741602068,0.7077201972861219,0.7532299741602068
300,,2,0.5,balanced,True,True,0.770671834625323,0.7074779237914225,0.770671834625323
100,10.0,2,0.5,balanced,True,True,0.7541989664082688,0.7065938153642736,0.7541989664082688
500,20.0,1,log2,balanced,True,True,0.7803617571059431,0.7047203506326795,0.7803617571059431
100,,2,0.5,balanced,True,True,0.7684108527131783,0.7044977685047371,0.7684108527131783
500,20.0,1,sqrt,balanced,True,True,0.7784237726098191,0.7035670074787085,0.7784237726098191
100,20.0,2,0.5,balanced,True,True,0.7667958656330749,0.7028485832975768,0.7667958656330749
