,RF_importance,XGBoost_importance,CatBoost_importance
Course_9670,0.0034723459976635095,0.0005730111737178875,0.0025342549622776912
Marital status_2,0.003427483645813341,0.008499665743481998,0.0036191432361087823
Course_9147,0.0034163151860720185,0.004870594976602044,0.0018934302140575993
Course_9085,0.00334932226951681,0.006780632222328335,0.0016204591193934306
Course_171,0.003120351238243855,0.0005730111737178875,0.0038904850796272743
Daytime/evening attendance_1,0.0030688290783287366,0.001146022347435775,0.0015633246744433226
Course_9130,0.003008233878030349,0.005443606150319931,0.002642868880386865
Course_9991,0.0029405815211466344,0.008404163881195683,0.00460920025777733
Course_9254,0.0028700343147020323,0.0059211154617515045,0.002746305270844037
Father_occ_grouped_2,0.00276943062567371,0.003151561455448381,0.002821165252334606
Course_9070,0.002698806117203192,0.0014325279342947187,0.0020119184082618867
Application mode_44,0.0024675860585843326,0.003151561455448381,0.00254911112634708
Course_8014,0.0022383327332259123,0.0043930856651704705,0.0014083456770490773
Course_9003,0.0022011810408745142,0.0023875465571578645,0.00133885212997969
age_group_3,0.0021872089466739427,0.0028650558685894374,0.0009216551398588145
Application mode_18,0.001669768208600555,0.003438067042307325,0.0004483659432107554
Application mode_7,0.0012871920664592439,0.00028650558685894376,0.0001163283789443299
Mother_occ_grouped_1,0.0012592972509985916,0.0,8.228173609430767e-05
Marital status_4,0.0011760397632586193,0.0012415242097220897,0.00030161766438387974
Application mode_51,0.0011415106755255798,0.0019100372457262916,0.0004383616617212354
Educational special needs,0.0011108293039546902,0.00028650558685894376,0.0002688830584788765
Application mode_16,0.001057476219793264,0.00038200744914525833,8.475257427035435e-05
Application mode_42,0.0010456599697748886,0.003151561455448381,0.00020945572017867483
Course_9556,0.0009975113792250107,0.0005730111737178875,7.790954030214553e-05
Father_qual_grouped_3,0.0008863672188374646,0.004966096838888359,0.0002848817297833823
Nacionality_grouped_1,0.0005362697779512697,0.0008595167605768313,0.0
Nacionality_grouped_3,0.0005161671147086903,0.0018145353834399772,0.0001540792802342155
Application mode_5,0.0004993580649803711,0.0043930856651704705,0.0002774974275911841
Application mode_15,0.00048744632001808614,0.008308662018909369,0.0002556788549436758
Nacionality_grouped_2,0.0004315863562328063,0.0,3.672091622476448e-05
Application mode_53,0.00041619080352045366,0.0,0.0
Marital status_5,0.00040651446494652737,0.0,2.620582689270431e-05
Mother_qual_grouped_3,0.00023239853898032864,0.0004775093114315729,1.2411550508134413e-05
Application mode_99,0.00021961869740962558,0.00019100372457262916,0.0
Marital status_6,0.00011333879208822172,0.0004775093114315729,2.2202845934818337e-05
Marital status_3,2.905473212249127e-06,0.0,1.0281585435597097e-06
